time,width
0.0,5.0
0.11273957158962795,6.697750006786468
0.2254791431792559,7.4465998957686015
0.3382187147688839,7.91799095739358
0.4509582863585118,8.24244075898118
0.5636978579481398,8.479402690894256
0.6764374295377678,8.660059760552626
0.7891770011273956,8.802348972140912
0.9019165727170236,8.91731978500045
1.0146561443066515,9.012150472722015
1.1273957158962795,9.091706932080575
1.2401352874859075,9.159404407549122
1.3528748590755355,9.217710591084767
1.4656144306651635,9.26845292712122
1.5783540022547913,9.313013606345642
1.6910935738444193,9.35245738641512
1.8038331454340473,9.387617770779647
1.9165727170236753,9.419156557769455
2.029312288613303,9.447605889930825
2.142051860202931,9.473398523249383
2.254791431792559,9.496889994733715
2.367531003382187,9.518375110155041
2.480270574971815,9.538100380264053
2.593010146561443,9.556273521294788
2.705749718151071,9.57307079766019
2.818489289740699,9.588642757760407
2.931228861330327,9.603118758729224
3.043968432919955,9.61661056829919
3.1567080045095826,9.629215256171493
3.2694475760992106,9.641017533195205
3.3821871476888385,9.652091657593335
3.4949267192784665,9.662502998928048
3.6076662908680945,9.672309329416631
3.7204058624577225,9.681561896485771
3.8331454340473505,9.690306318614105
3.9458850056369785,9.698583337522237
4.058624577226606,9.706429452885306
4.1713641488162345,9.713877460430655
4.284103720405862,9.72095691015373
4.3968432919954905,9.727694498153266
4.509582863585118,9.734114403040381
4.6223224351747465,9.740238575857795
4.735062006764374,9.746086990835797
4.8478015783540025,9.75167786302116
4.96054114994363,9.757027837774611
5.073280721533258,9.762152156290082
5.186020293122886,9.76706480060211
5.298759864712514,9.771778620987181
5.411499436302142,9.776305448203313
5.52423900789177,9.780656192632181
5.636978579481398,9.78484093207266
5.749718151071026,9.788868989673173
5.862457722660654,9.792749003271203
5.975197294250282,9.796488987225459
6.08793686583991,9.800096387672077
6.200676437429538,9.80357813200671
6.313416009019165,9.806940673284235
6.4261555806087935,9.810190030135
6.538895152198421,9.813331822717007
6.6516347237880495,9.816371305155727
6.764374295377677,9.819313394865672
6.8771138669673055,9.822162699097733
6.989853438556933,9.824923539013845
7.1025930101465615,9.82759997155351
7.215332581736189,9.830195809324985
7.3280721533258175,9.832714638726163
7.440811724915445,9.83515983647627
7.553551296505073,9.837534584718748
7.666290868094701,9.839841884837131
7.779030439684329,9.842084570110346
7.891770011273957,9.844265317319422
8.004509582863585,9.846386657405569
8.117249154453212,9.848450985269046
8.22998872604284,9.850460568788428
8.342728297632469,9.852417557131629
8.455467869222097,9.8543239884229
8.568207440811724,9.856181796823153
8.680947012401353,9.85799281907536
8.793686583990981,9.859758800561616
8.906426155580608,9.86148140091376
9.019165727170236,9.863162199215676
9.131905298759865,9.864802698831253
9.244644870349493,9.866404331889273
9.35738444193912,9.867968463453275
9.470124013528748,9.869496395401864
9.582863585118377,9.870989370042716
9.695603156708005,9.872448573481321
9.808342728297632,9.873875138763662
